From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
8056;1944;impassable;-1;-1;-1;-1;-1;;amazon
1937;1944;impassable;-1;-1;-1;-1;-1;;amazon
1937;12772;impassable;-1;-1;-1;-1;-1;;amazon
12845;12772;impassable;-1;-1;-1;-1;-1;;amazon
5026;5056;impassable;-1;-1;-1;-1;-1;;amazon
10849;10879;impassable;-1;-1;-1;-1;-1;;amazon
1981;10879;impassable;-1;-1;-1;-1;-1;;amazon
10849;10736;impassable;-1;-1;-1;-1;-1;;amazon
10849;7915;impassable;-1;-1;-1;-1;-1;;amazon
5317;7915;impassable;-1;-1;-1;-1;-1;;amazon
5317;5026;impassable;-1;-1;-1;-1;-1;;amazon
13620;5026;impassable;-1;-1;-1;-1;-1;;amazon
13620;13619;impassable;-1;-1;-1;-1;-1;;amazon
10792;13619;impassable;-1;-1;-1;-1;-1;;amazon
13617;13619;impassable;-1;-1;-1;-1;-1;;amazon
13617;13618;impassable;-1;-1;-1;-1;-1;;amazon
13617;2007;impassable;-1;-1;-1;-1;-1;;amazon
12729;2007;impassable;-1;-1;-1;-1;-1;;amazon
12770;2007;impassable;-1;-1;-1;-1;-1;;amazon
12770;13616;impassable;-1;-1;-1;-1;-1;;amazon
13237;13616;impassable;-1;-1;-1;-1;-1;;amazon
13237;12825;impassable;-1;-1;-1;-1;-1;;amazon
13237;12869;impassable;-1;-1;-1;-1;-1;;amazon
-1;-1;;-1;-1;-1;-1;-1;-1
